STT,content,sentiment
231,"Nhiều bạn tóm tắt   về sách rất hay nên mình mua và đọc. Sách hay như các bạn đã nói, riêng mình thấy hơi dài dòng về phía sau. Tuy nhiên tác giả lẫn người dịch khá hay, làm người đọc không chán mà càng đọc càng dễ hiểu. Sách dành cho mọi lứa tuổi khi bạn bắt đầu ý thức được cuộc sống không đơn giản như thời còn đi học. Bước vào đời, đi làm, lập gia đình thì càng nên đọc nó vì không ai có thể giúp bạn vượt qua áp lực ngoài trừ bản thân của bạn.",1
232,"Một cuốn sách triết học mang tính thực tiễn cao với lập luận sắc bén tập trung chính vào khía cạnh thực hành, cách tạo dựng một lối sống theo chủ nghĩa khắc kỷ. Nghe thì có vẻ lạ lẫm nhưng lại rất gần gũi và có mối quan hệ chặt chẽ với các triết lý trong nhiều tôn giáo, đặc biệt là Phật giáo. Chẳng hạn như phương pháp tưởng tượng vô cực cũng giống như thấu hiểu tính vô thường của cuộc sống ; nội tại hoá mục tiêu cũng chính là hiểu bản thân và làm mọi việc hết sức của mình mà không mong cầu vào kết quả ; thuyết vận mệnh; sống trong hiện tại .... Tất cả đều chung mục đích hướng con người tới một lối sống hạnh phúc và bình yên.",1
233,"Lần này bảo vệ sách của tiki gói đẹp lắm ^^ Như mấy lần trước có bọc thì bị bung, có bọc thì lệch hoặc to quá. Cuốn này được bọc đẹp nhất từ trước đến giờ 😄 Khi nhận sách thì ở phần bìa bị xước khá rõ ở phần in nổi :( Quá nửa mặt trên của sách cũng có dấu hiệu bị gập mạnh, lõm cả phần bìa. Sách đẹp, cầm vừa tay.",0
234,"Coi giá bìa 125k mà săn được bán có 10k, nói chung rất ưng! Chất lượng sách mình đặt bên tiki thì khỏi bàn rồi, lần nào cũng đóng gói cẩn thận, giao hàng nhanh, có chăng chỉ hơi quăn hay bong gáy sách môt tẹo do quá trình vận chuyển ( mình nghĩ cũng khó tránh mà), nhìn chung thì không ảnh hưởng gì nhiều tới chất lượng! Cuốn này chưa đọc nên không đánh giá được nội dung, thấy mọi người tóm tắt   với lại thấy giá hời nên mua!",1
235,"Tiki bọc rất kỹ và cẩn thận. Nội dung cuốn sách thì không phải bàn vì đây là cuốn sách nói về tư tưởng triết học giúp con người vượt qua những lo lắng bất ổn trong tâm lý bằng nguyên tắc sống vững vàng và thái độ sống bình thản. Mình đã đọc cuốn sách lần thứ 2 và mua thêm vài quyển để tặng những người bạn. Cám ơn tác giả William B.Irvine, nhóm tâm lý học tội phạm dịch rất cẩn thận và sát nghĩa, Tiki giao hàng rất nhanh và chất lượng tốt",1
236,sản phẩm từ tiki khá ổn. còn về dòng sách mà nói đọc gần nửa cuốn rồi mà mình vẫn còn hoang mang. dự là đọc đi đọc lại sau này. sách khong dành cho người khong cứng và không táo bạo với đời sống. thiên về lịch sử nó dẫn dắt bạn khá xa và nó như mồi nhử cho cảm xúc sau mỗi trang. nhưng không thiên về bộ môn triết học sâu sắc nên mình không thể ghi nhớ được hết về chủng tộc triết gia. chỉ khai thác được bề nổi của cuốn sâch này.,0
237,"Sách rất xinh, tựa sách khá ấn tượng, màu bìa rất bắt mắt, thu hút một cách bí ẩn. Mình chưa đọc nên cũng chưa bóc lớp bọc sách. Hy vọng ""Một mảnh trăng"" sẽ đem lại cho mình những trải nghiệm thú vị như chiếc tên của nó",1
238,Có chút nhầm lẫn trong quá trình nhận hàng do mình không kiểm tra kĩ nhưng nhân viên tiki đã giải đáp và tư vấn nhiệt tình. Sách được bọc màng co kĩ càng. Rất đẹp. Xin cảm ơn.,1
239,Sách đẹp nội dung hay rất đáng để đọc. Cuốn sách an ủi những trái tim tổn thương khi trở thành người lớn,-1
240,"Sách có ngay một vết dao rọc giấy, rạch ngay lên bìa sách. Thật sự rất không hài lòng về khâu kiểm tra hàng trước khi giao cho khách",-1
241,"sách cũng khá hay, bìa thì cực đẹp, nhưng bìa lại có nhiều vết xước hơi mất thẩm mĩ",-1
242,"Văn phong nhẹ nhàng. Nếu yên tĩnh, lật đọc từng trang sách thì thật thú vị.",1
243,"Hàng bọc chắc chắn, giao nhanh, bìa đẹp, rất ổn😃😄",1
244,"Đây là lần thứ 5 mình mua sách qua TiKi và rất may là mọi thứ đều ổn. Mình đặt lúc 10h mà 11h đã gọi điện giao tới rồi. Hộp và sách không bị móp méo hay hư hỏng gì. Nội dung nói về các chứng bệnh tâm lý thông qua những ví dụ minh hoạ và phân tích. Khá phù hợp với các bạn đang căng thẳng học hành hay làm việc. Với mình thì khá ổn, mang nặng phân tích tâm lý nên đọc nó làm mình hơi mụ mị :))))",0
245,"Giao hàng nhanh, nhân viên giao hàng dễ thương. Sách mới về nên chưa đọc cũng chưa đánh giá được nội dung. Nhìn sách bề ngoài rất mới và không bị sao cả. Nhưng khi lật ra thì bị lỗi trong sách rất nhiều, gãy mép sách, thừa giấy, trang giấy chưa được cắt. Dù là lỗi in ấn, nhưng tiki trước khi giao hàng cho khách nên vui lòng xem lại",-1
246,"Tiki giao hàng nhanh, chất lượng sách tốt không bị rách hoặc gãy bìa. Về nội dung, có lẽ do mình đọc nhiều dạng sách tâm lý rồi nên thấy quyển này cũng bình thường. Nhìn chung tác giả nêu ra và giải thích và cách chữa trị về những bệnh tâm lý thường gặp trong xã hội hiện nay. Mình có hơi thất vọng chút vì lúc mua nhìn tiểu sử tác giả là bác sĩ chuyên khoa tâm thần nên cũng trông đợi là sẽ viết một cách chi tiết hơn nhưng không. Thông tin mà tác giả mang đến cũng không quá mới mẻ so với những quyển sách tâm lý khác, đều là những kiến thức thường thức, không quá chuyên sâu. Cách dùng câu từ ở nhiều đoạn có hơi ""bay bổng"" quá, mình đến với một tâm thái tìm hiểu kiến thức mới nhưng văn phong của tác giả nhiều lúc khiến mình cảm thấy như đang đọc một quyển tiểu thuyết tình cảm buồn rười rượi vậy. Chốt lại là quyển này phù hợp với những bạn có mục đích đọc để giải trí hoặc mới quan tâm về tâm lý học. Nếu bạn nào đã có một sự hiểu biết nhất định về tâm lý học rồi thì mình nghĩ quyển này không cần thiết lắm vì nó cũng không mang lại thông tin gì nhiều.",0
247,"Tôi mua hàng trên Tiki đã nhiều lần mà nay rất thất vọng về dịch vụ chăm sóc khách hàng, báo giờ giao 1 đằng giao thời gian toàn lúc không có ai nên tôi nhờ người nhà nhận hộ, đến lúc về kiểm tra hàng lỗi cuốn Tư duy nhanh chậm, Hiệu ứng chim mồi 3 và Sổ tay nhà thôi miên lỗi thì lại nói do trễ 48h không được đổi trả, kì này mua tận mười mấy cuốn mà lỗi tùm lum, chắc mốt không dám mua hàng trên Tiki nữa.",-1
248,"Tôi từng nghĩ mọi thứ sẽ ổn khi trở thành người lớn là 1 tác phẩm còn hay hơn 1 tác phẩm văn học nữa... Kể về những trường hợp đặc biệt (bị trầm cảm, hưng cảm, sang chấn tâm lý, tinh thần...), 1 căn bệnh có thể coi là phổ biến ở thế kỷ 21 ngày nay... Khi con người mãi chỉ lo so sánh, tranh đấu mà quên mất mục đích sống trên đời này. Số người tự tử hay có ý muốn tự tử được xem là nhiều ở trên những nước phát triển và đang phát triển. Qua cuốn sách này, tác giả muốn nhắn gửi đến người đọc là hãy quan tâm và thương bản thân mình hơn, đừng quá quan trọng chuyện người khác nghĩ gì về mình hay phải làm vừa lòng người khác, quan trọng hơn cả là bạn cần có 1 đức tin nơi bạn, để có thể chữa lành vết thương tâm lý trong lòng bạn...",1
249,"sách bị dơ, bìa sách bị cong, không có bao sách. gói hàng sơ sài , không có chống sốc . lại còn trời mưa nữa chứ, may mà không ướt, ướt chắc bỏ sách hết...nói chung lần đầu mua mà mắc quạo!!!🙃🙃🙃🙃",-1
250,"Lúc nhỏ mình luôn ước ao trở thành người lớn. Khi lớn lên rồi lại mơ về một chiếc vé quay về tuổi thơ. Quyển sách này dành cho những người lớn cô đơn. Mình cảm thấy như được đồng cảm, tâm sự, sẻ chia và cứu rỗi khi đọc quyển sách này",1
251,Sách giúp người đọc hiểu hơn về các loại bệnh tâm lý một cách khá thực tế và đưa ra các hướng chữa-bệnh. Tuy nhiên một đều không hài lòng là sách của mình mới giở ra đọc lần đầu mà đã có một vài trang sách bị bong ra rồi hơi buồn,-1
252,"Tuổi trẻ đáng giá bao nhiêu? – Kẻ bi quan thấy không đáng một đồng, người lạc quan thấy nó vô giá... “Tuổi trẻ đáng giá bao nhiêu?” là một lời tâm tình của tác giả Rosie Nguyễn gửi đến người đã trẻ, đang trẻ và sắp trẻ. Sau khoảng thời gian đi nhiều nơi, gặp nhiều người, học nhiều thứ và làm nhiều việc, tác giả đã rút ra những chiêm nghiệm đầy quý giá đối với những bạn trẻ còn loay hoay trong cái gọi là tìm kiếm bản thân và đam mê của chính mình. Quyển sách bổ ích này được chia làm 5 phần: “Tôi đã học như thế nào”, “Học đi đôi với hành”, “Đi là một cách tự học”, “Lấp lánh trước khi tỏa sáng” và “Quà tặng kèm”. Mỗi phần đều là một lời nhắn nhủ của tác giả đến với người đọc, rằng tuổi trẻ ngắn ngủi lại chóng qua, rằng phải vững vàng khi đối đầu khó khăn, rằng quyển sách này sẽ luôn là một người bạn đồng hành đáng tin tưởng. Một đoạn mình rất thích trong quyển này là: “Nếu mượn được cỗ máy thần kỳ của Doraemon, nếu được quay về quá khứ, nếu có thể nhắn nhủ với tuổi trẻ của tôi một điều thôi, thì điều mà tôi lựa chọn là: Đọc sách nhiều nữa vào, đồ ngốc ạ! Vì cứ mỗi lần rời xa sách là tôi thấy đời mình đi xuống.” Đừng để tuổi trẻ của mỗi chúng ta trôi qua như dòng nước lặng, đừng để đến 70 tuổi mới xách ba lô lên và đi mà hãy sống mỗi ngày cuồn cuộn như dòng nước xiết, đứng dậy lên đường ngay bây giờ, có như thế, tuổi trẻ mỗi chúng ta mới không còn gì để hối tiếc nữa. Đây mới chính là thông điệp mà sâu đáy lòng tác giả Rosie Nguyễn muốn gửi đến mọi người.",1
253,"Lần đầu mua sách của tiki. Giao hàng nhanh. Sách nhìn tổng quan bên ngoài khá ổn, có vài vết xước. Nội dung chưa đọc nên chưa thể nhận xét. Sách có gần 300 trang nhưng tớ kiểm tra có hơn 60 trang sách bị nhăn từ ít đến nhiều. Mong tiki khắc phục. Với tớ sách cần được trân trọng nên mới buồn về chất lượng sách. 😞😞😞",0
254,mình thấy cuốn này được khuyến khích rất nhiều nên mua về được thử. Nhưng khá bùn vì sách có nhiều vết xước ở bìa về nhìn có vẻ hơi cũ keo sách nhìn có vẻ không chắc chắn lắm sợ lâu sẽ bung keo giao hàng tiki cũng tạm ổn nhanh nhưng đóng gói khá sơ sài không có bọc sách lại gì hết cả,-1
255,lần đầu mình đặt sách ở tiki thấy mọi người bảo sách hay lỗi nhưng mà mình thấy rất ổn.Mình chọn giao hàng tiết kiệm mà hôm sau đã nhận được hàng luôn rồi.Nội dung quyển sách thì mình đọc thử và thấy rất nhiều người tóm tắt   nội dung hay nên mình đã mua và quả thật đây là một quyển sách đáng đọc.,1
256,"Đọc xong cuốn sách này mới biết rằng tác giả là một người hiểu biết vô cùng sâu rộng và phong phú, và đặc biệt là đi rất nhiều nước khác....mình rất thích cách tác giả cảm nhận về tuổi trẻ và những dẫn chứng mà chị kể vô cùng thuyết phục, là những câu chuyện dễ đọc dễ hiểu và cũng rất dễ cảm..thật sự mà nói cuốn sách vô cùng hay, đặc biệt là những bạn trẻ cần phải đọc cuốn này..một quyển sách mình tâm đắc nhất từ trước đến giờ nói về tuổi trẻ...Tiki giao hàng khá tốt, cảm ơn tiki",1
257,"Mình rất không hài lòng chất lượng sách đợt này từ Tiki! Không biết Tiki bảo quản sách như thế nào mà quyển thì nhăn trang, quyển thì bìa trầy xước. Nhận 4 quyển mà hết 3 quyển không hài lòng. Mong được Tiki giải quyết! Mình chưa đọc sách nên không tóm tắt   về nội dung được, nhưng mình cũng đã tham khảo từ các anh/chị/bạn đọc khác rồi mới mua, nên hy vọng sẽ hay.",-1
258,"Đây là cuốn sách đáng lí ra nên đọc trước 22 tuổi (thời điểm còn sinh viên), vì nó sẽ giúp các bạn định hình được tuổi trẻ cần học tập những gì , cần rèn luyện gì để sau này bản thân sẽ có giá trị hơn với xã hội. Mình khá tiếc khi biết cuốn này quá muộn, nhưng dù sao mọi thứ vẫn còn ổn. Mua sách tại Tiki luôn yên tâm về chất lượng, giao hàng cực kì nhanh, đóng gói cẩn thận. Quá tuyệt, xứng đáng hơn 5*",1
259,"Mình xin viết đôi lời nhận xét 1. Thời gian giao hàng rất nhanh chỉ trong 1-2 ngày là đến đóng gói cẩn thận, nhân viên giao hàng tốt 2. Chất lượng sách rất tuyệt vời các bạn ạ. Mình hay mua sách và bữa giờ thấy cuốn này chất lượng ổn nhất. Từ bìa sách, trang giấy, màu, và cả phong chử cũng được in rất đẹp và tiêu chuẩn. 3. Về nội dung thì mình chưa đọc nhưng thấy mọi người tóm tắt   hay và hợp nhất với tuổi đôi mươi.",1
260,"sách đẹp, mới chỉ có điều 1 bên góc sách hơi bị xấu 1 tí nhưng không ảnh hưởng gì nhiều lần đầu đặt sách ở Tiki khá hài lòng anh nhân viên giao hàng cũng khá dễ thương Tiki giao hàng nhanh ghê luôn á nói chung em đây rất hài lòng😍😍",1
261,"Tôi cực kì hài lòng với quyển sách này, nói chung là rất ưng từ nội dung tới chất lượng của sản phẩm. Sách được bọc bằng 1 lớp nilong mỏng làm cho sách không bị bẩn hay hư hại. Giao hàng thì không cần bàn tới, tuy ở tỉnh lẻ nhưng 1 ngày đã có hàng. Hơn nữa khi tôi mua sách còn được giảm rất sâu, chỉ còn khoảng hơn 25k. Nên mua nên mua",1
262,"Thật sự rất hài lòng về những đơn hàng lúc trước đặt nhưng lần này vô cùng thất vọng, bìa sách ổn, nội dung ổn, trang giấy ổn nhưng mà những mẫu giấy đôi bị rời ra do đứt chỉ, mất chỉ vậy rồi sao đẹp, thẩm mỹ nữa. Lần này cho 3*, lần sau mong TiKi kiểm tra hàng thật kĩ giúp!!",-1
263,Câu chuyện này rất hay và cũng đã được chiếu trên rạp rồi nói về mối tình của Ngạn và Hà Lan về cuộc đời suy tình của Ngạn rất dây dứt. Ai đã chót đọc tác phẩm này giống mình thì thấy phim không hay cho lắm mặc dù đã xem nhưng cuốn sách cứ làm cho người đọc cảm thấy bồi hồi về mối tình của Ngạn và Hà Lan sự tiếc nối giữa mối tình này. Và có một câu rất hay “Trên cuộc sống này có hai thứ mà mình không thể nào quên đó là Chuyến xe cuối cùng để về quê và Không bỏ người yêu thương mình thật lòng”,0
264,"Hôm nay mình nhận được sách rồi ạ. Thời gian giao hàng cực nhanh luôn ấy. Sách đẹp và rất hay, ý nghĩa, có tặng kèm sổ tay nhỏ và dấu trang. Nói chung là trước giờ mình đặt hàng tiki nhiều lần rồi. Luôn luôn hài lòng với sản phẩm của tiki. sẽ tiếp tục ủng hộ ạ. 💝💝💝",1
265,"- Về sách: Mình thích quyển sách này vì nội dung của nó rất hay, thực tế và ý nghĩa. - Về giao hàng: Tiki giao hàng nhanh, đóng gói chắc chắn. - Về sản phẩm khuyến mãi: Lần này Tiki có vể sơ sót. Lý do là mình chọn sách có kèm dấu trang, nhưng không thấy đâu cả, mong Tiki hỗ trợ, vì mình rất thích sưu tầm dấu trang.",0
266,"Thứ nhất: Về chất lượng sách thì mình rất hài lòng, nội dung sách rất hay và ý nghĩa, Tiki giao hàng khá nhanh Thứ hai: sách Tiki giao không có dấu trang mặc dù mình đặt bản thông thường có kèm theo dấu trang, dấu trang của sách rất đẹp và mình là người khá nghiện nó nên mong Tiki sẽ khắc phục tình trạng này trong những lần tới. Bởi vậy nên mình đánh 4 sao thôi mặc dù sách đáng được 5 sao",0
267,Mua hàng bên Tiki lúc nào cũng giao nhanh cả rất ưng ý điểm này . Nhưng đợt này mình không thích lắm sách chẳng được bao bọc lại làm bìa sách hơi nhăn ạ . Mấy lần trước đều được bao kĩ càng ạ . Mong cửa hàng khắc phục điểm này ạ,0
268,"Sách được bọc nilon cẩn thận. giấy in dày và chất lượng. Mực in màu rõ nét và đều. Có kèm mã đăng nhập khóa học trực tuyến rất bổ ích. Về nội dung thì mình đánh giá cao cuốn này vì lượng kiến thức mới mẻ, sát với hoàn cảnh Việt Nam và cách viết cũng súc tích, dễ hiểu. Với mình cuốn này xứng đáng số tiền 200.000đ và mình khuyến khích mọi người nên mua.",1
269,"Mình mới nhận được sách và đã đọc được 2 chương. mình cảm thấy khá bất ngờ vì bìa sách khá đẹp, giống các loại sách về tư duy mình hay đọc. 😀 Nhưng cái bất ngờ nhất là có hình minh họa cho dễ hiểu, nên dù đọc sách tài chính nhưng không thấy khô khan lắm. 😀 thiệt là cưng. ❤",1
270,"Được con bạn tặng cho, mới đầu tưởng không hay mà hoá ra hay không tưởng. :)) Một quyển sách kinh tế tài chính hay, không chỉ dành cho những người kinh doanh mà những ai muốn quản lý chi tiêu của mình rất nên đọc. Cuốn sách giúp chúng ta hiểu đúng hơn về nguồn tiền của bản thân. Từ cách tiết kiệm tiền như thế nào, hay thế nào là bảo vệ tiền của chúng ta, đầu tư đồng tiền ra sao cho đúng.... đều là những vấn đề tài chính rất cơ bản mà không phải ai cũng hiểu đúng. Cuốn sách khai sáng cho mình những điều cơ bản đó, mà trước đây còn mịt mờ, mông luông trong việc quản lý tài chính của bản thân.",0
271,"Quyển sách là sự đúc kết và chia sẻ rất quý giá những kiến thức về tài chính cá nhân mà bất kì ai cũng nên sở hữu. Tôi hi vọng nền tảng kiến thức từ cuốn sách này sẽ lan tỏa đến tất cả các công dân Việt Nam đang có mong muốn kiến tạo một cuộc sống thịnh vượng, đặc biệt là thế hệ những bạn trẻ hãy tiếp cận và vận dụng càng sớm càng tốt. Một khi bản thân và gia đình của mỗi cá nhân đã thịnh vượng thì việc đưa đất nước nâng tầm phát triển cao hơn sẽ đến trong tương lai rất gần. Cảm ơn tác giả cuốn sách Anh Lâm Minh Chánh rất nhiều!",1
272,"Đọc nhiều bình luận tích cực nên hôm nay mình quyết định mua quyển sách này. Ấn tượng ban đầu là giấy in đẹp, có màu, dễ đọc, dễ hiểu. Tuy nhiên, cuốn sách hơi mỏng (235 trang). Nội dung theo mình đánh giá thì hơi nghèo nàn với quá chung chung, thậm chí nhiều nội dung viết quá lang mang không đi vào trọng tâm. Mình nghĩ sách này dành cho những bạn mới bắt đầu tìm hiểu về tài chính thì có thể đọc vì rất dễ hiểu. Tuy nhiên với giá 200k thì bạn có thể tham khảo nhiều tựa sách khác mà theo mình nghĩ nó đáng đồng tiền hơn nhiều.",-1
273,"Về dịch vụ giao hàng: từ ngày Tiki không trực tiếp giao nữa mà chuyển qua cho bên giao hàng tiết kiệm thì phải, 4-5 lần rồi, tất cả các hộp của mình đều bị móp méo, ướt, rách. Khi kiểm tra thì hàng vẫn ổn nhưng có 1 lần hơi móp cả đồ bên trong nữa. Vì mình thường đặt sách mà hộp giao móp méo hư hại là lo lắm. Mong sẽ cải thiện. Về ngoại quan sách: bìa sách bị xước phía sau, do bọc bảo vệ sách nên ban đầu mình không thấy, về sau thì nhận ra. Ngoài ra, sách bị dơ, bị hư hại chút như hình, cũng may ở trang cuối và không quá lớn. Về nội dung sách: + Câu trích dẫn ở trang cuối cùng của sách sai. Câu này của George Orwell viết năm 1984, chứ không phải do Tony Gaskin. Mong nhà xuất bản sửa lại. + Đây là 1 cuốn sách rất nặng về mặt chuyên môn, cực kì chi tiết, tuy nhiên với những ai đam mề về cách nhìn, đánh giá, phán xét con người thì đây là cuốn sách không thể bỏ qua. Bố cục rõ ràng, mạch lạc. + Dù so sánh khập khiễng 1 chút, nhưng khi bạn đọc cuốn này rồi, thì cuốn “Những kẻ khó ưa ở văn phòng” chẳng là gì cả, như 1 trò hề, thiếu sâu sắc hơn hẳn (do cả lối viết và sự đầu tư về nội dung).",-1
274,Bìa sách ngoài có trầy nhẹ nhưng vẫn ổn. Nhưng rách cả 2 bìa phía trong như này thì thật sự không đổ lỗi cho quá trình vận chuyển được. Đọc sách cần nội dung nhưng như này cũng rất ảnh hưởng đến thẩm mỹ đối với một quyển sách mới và bản thân người đọc cũng sẽ khó chịu .,-1
275,"Đây là lần đầu tiên mình mua sách trên tiki. Đọc tóm tắt   có nhiều người bảo sách bẩn, chất lượng không tốt nên cũng hơi quan ngại nhưng vì đợt 14/10 giảm giá nhiều quá nên mình bấm bụng mua luôn  Cảm nhận của mình sau khi mua hàng ở tiki là giao hàng nhanh chóng, mới đặt hôm qua hôm nay có trong khi dự kiến là 2 ngày nữa. Về chất lượng sách, phải nói mình là người khá kỹ tính khi mua sách nhưng những cuốn sách mình nhận đợt này (mình mua hơn chục cuốn) không có gì để chê. Sách đẹp, thẳng thớm, không bụi đáng kể, không quăn góc và một số cuốn vẫn còn trong bọc. Mong tiki đừng bán nữa!! 😭",1
276,tiki giao hàng rất nhanh và chất lượng nhưng mà lần này thì chất lượng có vấn đề. Sách về thì bị cong ở phía dưới bên phải (có lẽ là bị va đập vào đâu đấy) còn ở trong thì giấy bị gấp nếp lại:)) còn ở bên ngoài thì có cảm giác khá cũ (có 1 đường gì đó~ hình như là keo thì phải). còn về nội dung sách thì chắc khỏi phải bàn (5* cho nội dung) :> mong tiki lần sau sẽ giao hàng chất lượng hơn (2* cho chất lượng hàng),-1
277,"Sách hay và giúp ích rất nhiều cho chặng đường tìm hiểu chính mình của tôi. Nội dung sách xoay quanh tâm lý học nhưng đừng để tiêu đề đánh lừa. Quyển sách này không nhắm tới việc nắm bắt tâm lý người khác, để nhìn thấu họ... mà sách muốn hướng tới việc tìm hiểu chính bản thân người đọc. Sách nói về 1 loạt phân tích về tính cách của bạn, giúp bạn nhận ra và hiểu chính mình. Giúp bạn vững vàng hơn trên chặng đường tỉnh thức, chặng đường vượt qua bản ngã. Sách dành cho những ai hiếu kỳ với các chủ đề tâm lý học tâm linh, về bản ngã, cái tôi, về tính cách của chính mình, về sự tỉnh thức.",1
278,"Mình mới nhận được sách và mở ra nó hư hỏng như thế này. Mình muốn đổi trả sản phẩm, đây là quà mình đặt tặng cho bạn mà mở sách ra mình không thể chấp nhận, sách gãy góc, ướt , dơ và rách. Không có nổi cảm hứng đọc sách",-1
279,Tôi thực sự thất vọng với chất lượng sách lần này của Tiki. Sách có nhiều trang bị bung không được đóng vào gáy sách luôn. Đọc được nửa quyển thì có nhiều chỗ sai chính tả. Tôi mua sách nhiều lần trên Tiki nhưng chất lượng cuốn này thực sự làm tôi rất thất vọng. 1 sao.,-1
280,"Trước rất thích 2 quyển này. Lần này có dịp giảm 50% liền bê em nó về ngay. chất lượng giấy thì khỏi chê, nội dung thì chưa xem hết, nhưng cảm thấy điều tác giả mong muốn là hướng đến những điều tích cực trong cuộc sống! Sách thì không bị hư hay rách gì cả. Còn được tặng dấu trang nữa ❤️",1
281,"Sau gần 2 tuần mua sách, mình mới cảm nhận sâu về sách: -Lúc đầu mua về thì hơi ngẫm tí vì nó hơi nhỏ so với mong đợi mà định hình tinh thần thì sách nào cũng như nhau thôi. Màu in rất đẹp, dễ thương, nhẹ nhàng nữa...Nội dung chia ra từng mục nhỏ để mình dễ nắm bắt ý chính hơn. Sách rất ngại nơi ẩm ướt nhaa (nếu gặp, bề dày gộp lại uốn lượn như sóng vậy) anh nhân viên giao hàng khá thân thiện, vừa gọi xác nhận địa chỉ thì 30s sau đã tới cổng rồi. -Điểm trừ là mình cảm giác vài lá thư quá dở, dài dòng, nhiều cái còn lập lại :< không hay như phiên bản Song Ngữ Việt Trung  :D nhiều lá thư thì Rất hay luôn...khiến mình phải ghi dấus dán khắp tường, mùi sách không thơm cho lắm.. (na ná với cuốn lịch chắc do sách in loại bóng)....2 cuốn 99k => 1 cuốn 49,5k  so với giá gốc thì quá hời rồi...Cảm ơn Tiki nhiều nhaa",0
282,"Xin chào tiki , mình không hài lòng với cách giao hàng của tiki cho lắm . Sản phẩm được mình đặt hàng vào ngày 15/03 tiki trả lời giao hàng sẽ giao hàng vào 19/03 nhưng hôm nay đã là 20/03 mình đã gửi phản hồi qua thư điện tử nhưng vẫn chưa nhận được phản hồi và cũng chưa nhận được hàng . Mong tiki sẽ kiểm tra lại vào giao lại hàng cho mình trong thời gian sớm nhất. Trân trọng cảm ơn!",-1
283,"một nghìn lá thư gửi lòng tâm tư, tình cảm, những dòng động viên nếu bên trong có ưu phiền đọc đôi thư ngắn thấm liền đậm sâu thời gian thấm thoắt trôi mau chúc cho bạn sẽ thêm giàu yêu thương ♥️",1
284,"- Về sách: Sách mới, bọc kĩ càng, không có gì phải chê. - Về dịch vụ:  Tiki không cập nhật đúng tình hình giao hàng. Hẹn giao thứ 6 ngày 3/7. Mình đợi cả ngày nhưng mãi đến chiều 4/7 mới giao, vì sai hẹn nên mình không có ở nhà, mình hẹn lại nhân viên giao hàng chiều mai giao, nhân viên giao hàng đồng ý. Nhưng nguyên ngày chủ nhật 5/7 mình đợi cả ngày cũng không giao. Ngày 06/7, ngày 07/7 trên  vẫn hiện đang bàn giao vận chuyển. Sáng 08/7 nhân viên giao hàng giao hàng và nói ngày 06,07/7 đến nơi gọi mình không nghe máy, nhưng vì nhân viên giao hàng không gọi trước khi giao nên mình chỉ có thể theo dõi trên , tới hôm nay 08/7 nhân viên giao hàng giao rồi nhưng  vẫn hiện đang vận chuyển, sáng nay nhân viên giao hàng còn khó chịu với mình vì giao nhiều lần mà không được (trong khi mình hẹn giao chiều mà sáng giao, đồng ý với khách hàng một ngày rồi giao ngày khác thì ai nên khó chịu), tiki nên xem lại lỗi đến từ đâu.",-1
285,"Sách rất hay, mình rất biết ơn tất cả những người đã chia sẻ phương pháp Ho'oponopono đến rộng rãi mọi người. Mình cảm thấy mình tích cực hơn, có phương hướng hơn trong cuộc sống với giải toả được những khúc mắc về những đạo lý mà con người đặt ra. cảm ơn♡",1
286,"Giao hàng nhanh, sách tới tay không bị nhàu nát gì hết. Có điều sách có nhiều trang mép giấy vẫn dính vào nhau, mình phải lấy tay xé ra (ngại đi lấy kéo) cái này do lỗi kỹ thuật ở xưởng in. Nội dung sách tương đối dễ hiểu với những ai có quyết tâm tìm hiểu phương pháp này, hoặc những ai đã xem qua một lần video hướng dẫn của cô Triều, hoặc cũng dễ hiểu với ai đã từng đọc sách về phật, hoặc có khái niệm cơ bản về tâm linh nói chung.",0
287,"1cuốn sách cực kì hay,sâu sắc,tuyệt vời Các bạn hãy mua thêm quyển ""Trở về không"" +cuốn Ho'oponopono của Thái Hà boổn +""Muôn kiếp nhân sinh"" thì sẽ là rất hoàn hảo cho ai muốn 1cuộc sống bình an,an lạc,hạnh phúc Chúc các bạn có nhiều trải nghiệm tuyệt vời❤️❤️",1
288,"Đây là một quyển sách tuyệt vời. Có thể bạn hiểu hết hoặc chỉ hiểu một phần nội dung, không sao cả, bạn hãy cứ đọc đi đọc lại như kiểu sách gối đầu giường í. Chắc chắn bạn sẽ đồng cảm với mình.",1
289,Sách được đóng giấy kính nhựa. Nội dung sách gần giống 1 phần với triết lý của sách Bác nhã tâm kinh. Cần một chút tin tâm linh thì đọc giả sẽ không phải khó hiểu ( người duy vât),0
290,"Tiki giao hành sớm hơn dự kiến. Sách được bảo quản khá tốt, ít bị dập mép bìa. Về nội dung của sách cô Trang Anh thì không cần bàn cãi gì nhiều, đầy đủ kiến thức lắm luôn. Sau khi học xong lí thuyết thì sẽ có bài tập áp dụng khá là hay😌. Phần đáp án còn được giải thích chi tiết nữa nên mình khá hài lòng. Mình nghĩ các bạn cũng nên mua thêm cuốn cẩm nang vì nó đầy đủ kiến thức hơn. Nói chung là mình cảm thấy rất hài lòng👍🏿",1
