STT,content,sentiment
161,"Sách có hình thức đẹp mắt. Nhưng nội dung thì theo quan điểm cá nhân nó ko phù hợp với mình. Sách viết thiên hướng về những tâm tưởng ý định hơn là vạch ra rõ ràng cho người đọc biết phải làm như thế nào. Nó ko trả lời được câu hỏi HOW? Cũng ko đúng mục tiêu có ""ngôn từ"" tốt hơn như mình mong đợi. Những đề mục trong sách nói ra thì mình nghĩ có lẽ ai cũng đã được nghe và hầu hết sách nào về giao tiếp cũng nói rồi. Tuy nhiên thì vẫn cảm ơn tác giả đã dành tâm huyết viết lên, trong sách cũng có 1 số câu nói hay đáng để lưu. Có thể ko phù hợp với mình nhưng sẽ phù hợp với những người khác.",0
162,"Người ta thường nói “ học ăn, học nói, học gói học mở” điều đầu tiên chúng ta học là học ăn uống, sau đó đến cách nói năng. Lời nói là 1 điều vô cùng quan trọng đối với chúng ta khi giao tiếp, nó ảnh hưởng đến mọi điều chúng ta tiếp xúc... nên bạn nào muốn học cách nói năng hoặc cảm xúc điều chỉnh lời nói thì nên mua nhaaa, sách nhìn rất bắt mắt, rất đẹp luôn, đóng gói cũng cẩn thận nữa, nói chung là toẹt vời nha 😆",1
163,"Sách đẹp, không bị móp méo. Quyển sách này theo đánh giá của mình là rất đáng mua, kể cả không phải fan của V (BTS) thì cũng nên mua để đọc. Lời dịch chặt chẽ, nội dung khá thú vị và hơn hết là hỗ trợ nhiều trong giao tiếp- một điều rất quan trọng trong cuộc sống.",1
164,"Chắc hẳn khi mua một cuốn sách nào bạn cũng tìm hiểu về nó. Tôi cũng vậy,cuốn sách tản văn này giúp chiếc bát ngôn từ của chúng ta được mở rộng hay quan điểm và trí tuệ của ta đc mở rộng và hiểu sâu hơn...Bìa sách rất bắt mắt cùng với đó cuốn sách lại V của nhóm nhạc bts yêu thích. Bạn nên mua cuốn sách này. TÔi rất hài lòng về nó!",1
165,"Nội dung chưa đủ lôi cuốn mình để đọc 1 lèo hết cuốn sách. Sách được chia ra thành từng chủ đề ngắn, vẫn có những câu đọng lại thấm khi đọc, sách vẫn có ý hay nhưng phân tích ngắn quá thành ra chưa được sâu. Hơn nữa nhiều câu trích dẫn đọc khó hiểu, hay do mình đọc không hiểu nữa. Sách này nên cần đọc và ngẫm nhiều lần mới thấm. Một trong những đoạn mình thấy hay trong sách là ""Lắng nghe không đơn thuần là giữ im lặng, nó bao gồm ánh mắt, cử chỉ và những hành động phù hợp với lời nói của đối phương"". Điều mình thích ở cuốn sách này là sách trình bày đẹp, dòng thưa, chữ tương đối to, dễ theo dõi. Tiki giao hàng nhanh, đóng gói ổn, bỏ đi những lỗi vụn vặt thì chưa có gì đáng chê trách.",0
166,"tiki giao hàng nhanh hơn dự kiến nhưng đóng gói còn lỏng lẻo, không chắc chắc, có 2 mẫu giấy to trong hộp, không biết để làm gì, hi vọng tiki sẽ dùng bao chống sốc để hạn chế hư hại. mình mua 8 quyển, đây là quyển duy nhất có seal, nên không bị vấn đề gì. hi vọng là tiki sẽ khắc phục lại phần đóng gói",0
167,"Bìa rất ư là xinh xẻo luôn, postcard đầy đủ. Dù mấy ngày gần đây lụt lội cơ mà sách vẫn an toàn không bị móp méo gì hết nè. Mình cũng lần đầu đọc thử thể loại tản văn nên có hơi khó đọc xíu, nhưng chắc đọc vài lần sẽ dễ hiểu hơn :>",1
168,"Về khoản làm việc thì tiki khỏi phải bàn luôn ạ, còn về sách thì mình chưa đọc nhma vì thần tượng của mình thích nó nên mình cũng muốn đắm chìm vào sở thích đó 1 lần. Hy vọng nó sẽ giúp mình cải thiện đc ngôn ngữ nói năng hơn",0
169,"Thực ra mình đọc qua giới thiệu sách thấy ưng nên mua, không phải vì V nhưng biết V cũng thích sách này nên mình tự nhiên thích hơn 🤣 có điều sách này hay thật. Tiki giao sách được đóng gói kĩ lưỡng, nói chung không thể chê được",1
170,Mình vừa nhận được sách này. Nói thật mua hàng ở Tiki rất nhiều lần nhưng chưa bao giờ thất vọng như thế này. Bình thường sách giao tới nếu hơi cũ hay bẩn 1 chút mình vẫn ok chấp nhận được (vì sách sản xuất ra sẽ có cuốn này cuốn kia). Nhưng lần này gặp cuốn này thật sự không biết dùng từ nào để nói. Cuốn sách như bị rớt vũng nước xong đem giao cho khách hàng vậy. Và điều tệ nhất là lúc mình mở ra nó VẪN CÒN HƠI ẨM! Không cần biết nội dung sách như thế nào như chắc chắn 1 sao vì khâu quản lý chất lượng !,0
171,"Khoảng cách giữa thiên tài và kẻ điện thực chỉ là một ranh giới mỏng manh mà thôi. Bọn họ đều có suy nghĩ quái lạ, đều sống trong thế giới của riêng mình mà người bình thường vốn không thể hiểu được. Cuốn sách này là một trong những cuốn sách hay nhất mà mình từng đọc. Nó đề cập đến những khía cạnh của cuộc sống như Vật Lý Lượng Tử, Đa Nhân Cách, Sinh Mệnh, Cảm giác, Giấc mơ,... thông qua những đoạn hội thoại giữa tác giả và đối tượng. Thật ra, bọn họ là kẻ điên nhưng lại có suy nghĩ của một thiên tài! 🤷🏻‍♂️",1
172,"Sách rất cưng, giấy cũng mềm mịn và ổn, mặc dù hơi nặng hơn so với bản trước đây. Nội dung sách thì miễn chê nhé, tiểu thuyết mang tính tấu hài chất lượng cao cùng với nội dung thú vị. Rất đáng đọc trong thời buổi chất lượng sách đi xuống như hiện nay. Để kiếm đc 1 cuốn tâm đắc và đáng giá tiền bỏ ra thì đây là 1 ví dụ điển hình.",1
173,"Mình mua hàng trên tiki nhiều lần rồi, nhưng lần này bị giao hàng kiểu này. Sách thì dơ, bị rách phía sau, góc sách bị rách phải lấy băng keo dán lại. Các bạn chỉ muốn bán một lần rồi không bán nữa phải không? Hay là do nôn nóng ăn tết rồi bán sách lấy tiền tiêu tết, hậu quả qua tết tính chứ gì?",-1
174,"Mình chưa bao giờ viết nhận xét về một cuốn sách nào. Đây là lần đầu tiên vì cuốn sách này quá hay. Khi đọc nó mình cảm thấy như được mở rộng tầm nhìn, biết được những cái vượt xa tầm hiểu biết, kiểu bạn nhìn một sự vật nhưng thấy được rất nhiều góc độ...Mình chưa bao giờ đọc một cuốn sách mà sợ đọc hết đến như vậy vì quá hấp dẫn, mình hối hận vì đã không mua nó sớm hơn vì chần chừ. Tác giả lại là một người quá hài hước, đây là lần đầu mình đọc một cuốn sách mà cười nhiều như vậy. Hãy đọc ngay đi bạn, đừng chần chừ , rất đáng đồng tiền. Đây là một cuốn sách không thể thiếu trong tủ sách của bạn.",1
175,"nhìn hình chắc các bạn cũng hiểu tại sao mình lại đánh giá 1* mình không rõ là do vận chuyển hay từ nhà sản xuất nhưng mình rất thất vọng. mình đặt từ tiki rât nhiều, và đa phân đc gói rất cẩn thận nhưng lần này không có nilon bọc j hết, đợt trc mình có nhận 1 cuốn từ tiki và có dấu hiệu bị bẩn nhưng mình cũng bỏ qua và cho 5* nhưng lâng này thì quá đáng thất vọng. mình yêu cầu đổi",-1
176,"Mình thì chỉ có vài nhận xét nhỏ thôi. Đầu tiên, về việc giao hàng. Giao rất nhanh và sớm hơn cả mong đợi của mình, điều này khiến mình khá hài lòng. Thứ hai, về bên ngoài của sách thì có chút bụi, nhìn có vẻ sách k được bảo quản kĩ lưỡng nhưng có thể tạm thời bỏ qua vì ta có thể lau nó đi mà,haha. Thứ ba là về bookmark, vâng, và nó dth y như tưởng tượng của mình.Mặc dù có một chút trầy xước nhưng vẫn ok. Còn về nội dung thì mình chưa đọc vì hàng ms về là mình k nhịn được để lên đây nhận xét nên khi nào đọc xong mình sẽ lên để nhận xét thêm! Trừ một số lỗi vặt ra thì mình khá hài lòng nên tặng 4 sao vậy!",1
177,"Sách ban đầu hơi “quá sức” so với tầm hiểu biết và khiếu đọc tâm của mình, nhưng dần dần càng đọc càng cuốn. Nhất là 2 trang sách này, kể về mối tình già, tâm lý người lớn tuổi khi mất đi người bạn đời. Càng đọc càng thấy thực ra mỗi người chúng ta đều có thế giới riêng, và người “tâm thần” cũng vậy. Nhưng khi được thỏa sức sống cho chính mình như vậy, họ có hạnh phúc không? Hay cũng lại đau thương? Hay chính vì quá đau thương nên họ mới “tâm thần”?... 🤟🏼",0
178,"Nội dung thì không bàn nhưng quá chán tiki lại giao sách cũ, bụi đầy cả sách, trang giấy thưa thớt như đã có người đọc rồi, còn bị gãy chỗ mép sách và quan trọng hơn nữa là không có bookmark, vốn đã đọc cuốn sách này của bạn rồi nhưng vì quá yêu thích nên mới bỏ tiền ra mua để kỉ niệm mà gặp quả sách chán hết nói, còn cũ hơn cả cuốn mình mượn của bạn mình.",-1
179,"Chưa đọc hết nhưng qua những gì đã đọc và rv của mọi người thì mình thấy quyển này đáng để mua. Tuy nhiên không hài lòng với tiki vì sách không có bọc. Mình chọn tiki để mua sách mới, sách chính hãng chứ không phải 1 quyển sách cũ như thế này. Bản thân là một người cực kỳ yêu sách nên mình cũng cực kỳ khó chịu. Nhưng sẽ vẫn cho 5 sao vì đây là đánh giá nội dung sách.",1
180,"Bìa sách đẹp, nhìn rất hút, việc trình bày cũng vậy. Nội dung thì khỏi nói, rất phù hợp cho những người có vốn từ vựng nghèo nàn như mình. Đặc biệt ở đây là các từ vựng chia theo từng chủ đề và những chủ đề này rất hay xuất hiện trong cuộc sống nên việc học những từ vựng này rất cần thiết. Khổ sách nhỏ nên thích hợp cho việc học mọi lúc mọi nơi.",1
181,"Tiki giao hàng sớm hơn dự kiến, bảo quản sách cẩn thận không bị nhàu nát. Cuốn tự học này to bằng bàn tay thôi à😂nhưng nhỏ mà có võ nha. Nó còn có cả bài tập áp dụng và đáp án nữa nên mình khá thích. Mình thấy rất hài lòng👍🏿",1
182,"Sản phẩm rất tốt ạ, còn có phần bài tập, audio và ebook nx, Ship hàng nhanh, sổ nhỏ gọn dễ mang theo khi cần, nhưng phần luyện nghe đọc nhanh quá, nên khó học lắm ạ. Hi vọng lần tái bản sau của sách đọc chậm hơn và có phần giải bt ạ.",0
183,"Tương đối nhỏ xinh và tiện lợi. Nhưng với mình thì cảm thấy nhiều chữ quá đọc hơi hoa mắt. hehe. Nhưng dù sao thì cũng vẫn rất tốt. Tiki giao hàng nhanh ghê. Tối hôm trước đặt, hôm sau đã nhận được hàng rồi. Thank you so muchhhhh!",1
184,"Mình thấy mọi người cứ kêu ca : sách cũ , bị gãy ,nhàu ,nhưng mình nhận về sách rất đẹp , đóng gói chắc chắn , thời gian giao hàng nhanh . Rất phù hợp với con mình .Với phương pháp sơ đồ tư duy trong mind map con mình học vào rất nhanh , hình ảnh sinh động nên con học siêng năng , thích thú .Tổng hợp kiến thức ngắn gọn, xúc tích và dễ học, dễ nhớ. Nói chung là nên mua",1  
185,sách nhỏ ngọn nhiều từ vựng theo nhiều chủ đề có thể mang theo để đọc có phần bt để làm nhưng vì sách khá nhỏ nên khó để ghi vào và có cả đáp án kèm theo,0
186,"Giao hàng nhanh, sách nhỏ cỡ bàn tay, tiện lợi đem bất cứ đâu. Sách gồm 42 chủ đề, 259 trang, cuối mỗi chủ đề có phần luyện tập như hình. Theo mình thấy giá như vậy so với 1 cuốn nhỏ này là hơi chát, nhưng....chịu.",1
187,"Sách nhỏ gọn, nội dung nhìn chung là ổn. Có phần từ vựng và bài tập ( tặng kèm flashcard nữa ) nhưng về App thì hơi thất vọng. App đọc hết tất cả từ vựng một lượt rất nhanh ( không dừng lại ở từng từ mà đọc hết một lèo ) làm cho mình không biết phát âm kiểu gì.",0
188,"Đây là một quyển sách rất có ích trong việc học tiếng anh, một người bạn đồng hành tuyệt vời trên con đường chinh phục tiếng anh cơ bản. Với thiết kế nhỏ gọn để bạn có thể học ở mọi lúc mọi nơi, sách còn có phần bài tập củng cố cuối mỗi bài học sẽ giúp bạn thêm dễ nhớ và khắc sâu thêm từ vựng. Ko chỉ học từ, sách còn luyện cho bạn kĩ năng nghe với ebook miễn phí. Đây thật sự là một quyển sách tuyệt vời.",1
189,"sách nhỏ gọn bằng bàn tay, có file nghe từ. Tuy nhiên mình k thích cách học từ này cho lắm. Vì chỉ học từ đơn mà k có ngữ cảnh hay câu ví dụ thành ra học sẽ k hiệu quả. MOng lần biên tập sau sách có thể thêm vd dưới mỗi từ sẽ hay hơn",-1
190,Đối với sản phẩm nhận được rất hài lòng. Tuy nhiên thời gian phản hồi hàng quá chậm. Đơn hàng đặt ngày 11.11 đến 23.11 mới nhận được. Kiểm soát đơn hàng và xử lý đơn không chuyên nghiệp...,-1
191,"Mình vừa nhận đủ sách. Siêu dễ thương luôn, hinh vẽ đẹp, màu sắc hài hoà, nội dung ý nghĩa, bé siêu thích luôn. Giá lại siêu tốt. Hai mẹ con cám ơn tiki nhiều lắm.",1
192,"Mình vừa nhận đủ sách. Siêu dễ thương luôn, hinh vẽ đẹp, màu sắc hài hoà, nội dung ý nghĩa, bé nhà mình rất thích.",1
193,Shop giao hàng rất nhanh. Bé nhà mình thích nhất là bộ truyện tranh song ngữ này,1
194,"Tiki giao hàng nhanh ngay trong ngày hôm sau, đóng gói cẩn thận. Sách có nội dung ngắn gọn, dễ đọc, ngữ pháp từ vựng đơn giản dễ dàng cho bé đang tập đọc 3-8 tuổi.",1
195,giấy tốt màu sắc đẹp. chữ to dễ đọc,0
196,"Dạo này Tiki giao hàng chán lắm, hộp của mình bị méo mó, nát hết không tái sử dụng được. Mình đánh giá sách 4 sao và 1 sao cho dịch vụ vận chuyển.",-1
197,"sách mới, giao hàng nhanh nội dung rất phù hợp với các bé và vui hơn nữa là mình săn lúc giá 10k :》",1
198,"Truyện rất ý nghĩa dạy cho con cách làm quen với cuộc sống xung quanh thường ngày , truyện dày dặn rõ chữ và hình ảnh",1
199,"Bộ sách dành cho các bé từ 3-8 tuổi, nội dung ổn, minh họa đẹp, phù hợp với lứa tuổi.",1
200,"Mình không biết do mình xui hay sao mà nhận được cuốn sách này bị như hình. Mail cho Tiki mấy ngày rồi không hồi đáp nên phải lên đây complain. Đồng ý là Tiki có nhiều sách lâu không đụng tới sẽ bị mốc như vầy nhưng mong Tiki hãy cẩn thận khi gửi tới cho khách hàng 1 cuốn sách. Mặc dù giá thành có rẻ hơn so với giá trị gốc của sách nhưng chí ít người ta đã lên đây mua là mong muốn 1 cuốn sách mới rồi. Nếu sách của Tiki bị như trên thì làm ơn để riêng 1 các mục chuyên thanh lý. VÀ LÀM ƠN CẨN THẬN, mình rất ngại việc đổi đi đổi lại vì ở tỉnh, thật sự là rất mất thời gian và gây khó chịu.",-1
201,"Trước giờ mình luôn tin tưởng và đặt sách ở tiki, nhưng lần này mình thật sự thất vọng về chất lượng sách. Đây là cuốn ""cân bằng cảm xúc cả lúc giông bão"" được đặt cùng 2 cuốn ""pay back time, mỗi ngày tiết kiệm 1 giờ"" ngày 31/1 và giao hàng ngày 2/2. Vì hôm nay mình mới đọc tới cuốn này nên giờ mới phát hiện ra, chất lượng sách không tốt, quá nhiều trang bị bung ra. Đánh giá 2* vì sự nhiệt tình của nhân viên giao hàng.",-1
202,"Mình mua sách hay xem review trước thấy có nhiều trường hợp lỗi đóng gói quá nhưng trộm vía ngàn lần là mình chưa bao giờ gặp tình trạng đó. Đợt giao lần này vẫn perfect như mọi khi. Hộp được dán băng keo rất chắc chắn, bọc sách cũng như tình trạng sách rất tốt. Mình cũng là người yêu sách nên nhận được sách như này thấy rất vui. Về nội dung thì chưa đánh giá được do sách vừa về cầm nóng tay hihi.",1
203,Đơn hàng mình đặt 5 cuốn trong khi nhận đc 4 cuốn về bề ngoài thì ko vấn đề gì. Riêng mỗi cuốn này thì lại bị như hình dù nó đc đặt ở giữa các cuốn còn lại chứ ko phải ở trên hay đáy hộp. Háo hức khui ra nhưng hơi hụt hẫng và thất vọng. Dù đã đọc review về chất lượng sách trước khi đặt hàng nhưng mình ko nghĩ là tình trạng lỗi sản phẩm của Tiki vẫn chưa đc cải thiện. Giá có rẻ hơn giá gốc nhưng nếu vì sản phẩm lỗi mà giảm giá như vậy thì Tiki nên note vào để khách hàng biết mà cân nhắc :))))),-1
204,"Sách có hơi trầy ở phần sau một chút nhưng không sao cả. Còn về nội dung thì cá nhân mình thấy hay, tác giả đưa ra những dẫn chứng khoa học + ví dụ thực tế cho những ý của mình, nói chung là mình cảm thấy rất thực tế. Điểm cộng cho Tiki vì giao hàng siêu nhanh nhé!",1
205,"Nội dung thì không còn gì để bàn cãi rồi, rất hay và đáng đọc, khuyên mn nên mua. Bìa đẹp, chất lượng giấy tốt nhưng cách đóng các trang giấy vào sách dở tệ, đọc đến đâu thì các trang sách bị lệch ra tới đấy (như hình), làm rất mất thẩm mĩ. Tôi rất hài lòng về nội dung nhưng không hài lòng tí nào vê sự cố này. Mong lúc Tiki xét duyệt nếu có thể thì cho tôi đổi hàng mới, cảm ơn! Cho 3* vì nội dung tốt.",0
206,"Sách khi nhận về không có bookcare. Nhưng may là sách cũng khá mới, sạch sẽ, không bị lỗi gì. Mình đọc gần hết rồi, nội dung hay, giúp mình suy nghĩ và nhận ra được nhiều điều cần thay đổi. Có thể giúp mình tĩnh tâm khi các vấn đề không hay xảy đến với mình trong cuộc sống... Mình nghĩ đây là quyển sách đáng nằm trong tủ sách của các bạn.",1
207,"Vì khá down mood nên mình lên viết ngay sau khi mở hộp, chưa thể nhận xét về nội dung. Đây là lần thứ 2 mình thất vọng về Tiki :( Mình đặt 2 quyển này, 1q để tặng cho bạn và 1q để mình đọc. Nhận hàng thì hí hửng mở hộp ra thì tuột mood nặng nề vì đập vào mắt mình là một vệt đen ngay trên bìa quyển sách (như ảnh), mình lấy tiếp quyển còn lại xem thì cũng bị lỗi ở phần bìa (như ảnh) :< Thật sự khá buồn cho đơn hàng lần này :(((( Bên cạnh đó thì dịch vụ giao hàng, đóng gói của tiki cũng như các sản phẩm khác rất ok, đơn hàng mình giao không thành công, liên lạc bên tổng đài thì chị nhân viên rất tận tình hỗ trợ, anh shipper cũng rất nhiệt tình.",-1
208,"Mình ít khi nào đánh giá thấp một sản phẩm hay dịch vụ nào đó nhưng cuốn sách này thật sự làm mình thất vọng về thông điệp và nội dung nó mang lại. Cuốn sách như một bài viết tự ca ngợi của chính tác giả mà hoàn toàn không phù hợp với suy nghĩ cá nhân mình - một cười khá coi trọng cảm xúc những người xung quanh. Những gì mình cảm nhận được về sách là một sự ích kỷ và mơ mộng khá viễn vong một cách không cần thiết. Mình hiểu việc đôi khi cần phớt lờ người khác và suy nghĩ tới những điều tích cực hơn trong cuộc sống có thể giúp chúng ta vượt qua mọi bất ổn dễ dàng hơn, nhưng theo mình thì không phải bằng cách ích kỷ thái hoá như vậy. Mình thậm chí cố gắng lắm cũng không thể đọc quá 1/3 cuốn sách này. Bên cạnh đó, điều làm mình khá khó chịu là việc sai chính tả những từ cơ bản và lối dịch thuật y thể Google translate gây khó hiểu thật sự (thậm chí có thể hiểu sai ý ở một vài đoạn) đối với người đọc. Về cách phục vụ thì mình không có bất kì phản hồi tiêu cực nào đến Tiki vì đối với mình dịch vụ ở đơn hàng này nên được 4.5/5 sao (0.5 sao là về sự hơi sơ sài trong đóng gói)",-1
209,"Cuốn sách cực kì hay, dành cho những bạn nào tính tình hay nóng nảy hoặc sống thiên về cảm xúc và bị cảm xúc chi phối nhiều. Đọc xong , bản thân sẽ tự biết cách kiểm soát cảm xúc và biết sống yêu thương hơn , nghĩ cho người khác nhiều hơn. Mua sách tại Tiki luôn yên tâm về chất lượng, giao hàng cực kì nhanh, đóng gói cẩn thận. Quá tuyệt, xứng đáng hơn 5*",1
210,"Đã mua ở Tiki rất rất nhiều sách, nhưng đây là lần đâu tiên tôi cảm thấy sốc. Tôi đã đọc cuốn này nhưng muốn mua bản mới để lưu giữ. Đến hôm nay tôi mới mở cuốn sách ra lần đầu tiên, nhưng rất nhiều trang sách đã có dấu bút bi gạch dưới. Nếu như tôi kiểm tra ngay khi giao hàng thì sự việc tôi trình bày có cơ sở hơn. Nhưng bây giờ đã mấy tháng và tôi chỉ muốn nhận xét ở đây để Tiki lưu ý. Là một người không có thói quen viết hay tô màu vào sách thì tôi thật sự cảm thấy nghi ngờ và đáng thất vọng về sản phẩm này của Tiki.",0
211,Sách trầy xước lem mực nhìn rất ghê Đã tiến hành đổi trả lại vs tiki. Khi nào nhận đc sách đổi trả mình sẽ review lại một lầm nữa.Mua nhiều lần ở tiki rồi lần đâuf tiên gặp phải chất lượng sách ntn. Hi vọng tiki hãy kiểm tra kĩ hàng trước khi giao đến cho khách hang,0
212,Đây là 1 cuốn sách ai cũng nên đọc. Nội dung sách là những nguyên lý căn bản nhất dạy về cách đối nhân xử thế. Đọc các ví dụ trong sách nhìn lại bản thân mình thấy được nhiều hành động mà bản thân cần phải sửa. Chất lượng giấy của sách lại hơi tệ.,1
213,"cái tấm kẹp sách để ngay giữa cuốn sách, như kiểu có người đang đọc dở, sách phải cod lớp bọc nilong ở ngoài còn đây thì không có, mép sách bị cong gẫy, phần hông sách bị nhăn nhúm như kiểu đã đọc qua nhiều và gấp đi gấp lại. YÊU CẦU ĐỔI TRẢ, MONG GIẢI QUYẾT SỚM GIÙM MÌNH",-1
214,"Sách đẹp, mới. Nội dung cũng khá hữu ích, các dẫn chứng kiểu Tây nên cảm giác k bị xàm xàm kiểu mấy cuốn ngôn lù Tung Của =)) Mà nói chung đại ý của cuốn này là kiểu lúc nào cũng phải làm vừa lòng người khác ấy, nhiều khi cảm giác bị quá, k phù hợp với thực tế xã hội ở VN này lắm 😂😂",1
215,"Ấn tượng đầu tiên nhất về sách là bìa sách trang trí đơn giản, không cầu kì, tựa sách nghe rất hay. Đắc Nhân Tâm chắc có lẽ là cuốn sách tâm đắc nhất với tôi. Sách đã đem lại cho tôi những khám phá mới, những tầm nhìn mới, những suy nghĩ hay, cùng nhưng điều kỳ lạ và mới mẻ trong giao tiếp ứng xử mà tôi chỉ biết khi đọc qua. Tiki giao hàng nhanh, chất lượng.",1
216,"Sách mới , bao cẩn thận. À mà cẩn thận nhưng do sơ sút nào đấy mà bìa sách bì nhấn in hẵng mấy đường như kiểu móng tay bấu vào mong rút kinh nghiệm ạ.Thôi thì cứ xem đó là một điểm nhấn , điều đặc biệt yêu thương nhưng mà đừng nhấn nhìu quá để lại những đặc biệt không tốt♥️",-1
217,"Cuốn sách này đã dạy tôi rất nhiều điều mà trước đây tôi chưa bao giờ để tâm đến, tuy vẫn chưa đọc hết cuốn nhưng cũng hiểu được phần nào nội dung cuốn sách muốn truyền tải đến bạn đọc. Thật sự ""Đắc Nhân Tâm"" quá tuyệt vời cảm ơn tác giả Dale Carnegie.",1
218,"Đây là quyển sách thật sự hữu ích đối với mình.❤️ Nói thế nào để làm hài lòng người khác mà vẫn để bản thân không thiệt thòi, nói thế nào để đánh sâu vào tâm lí và gây ảnh hưởng đến mọi người, nghệ thuật lắng nghe, cách tạo thiện cảm,... 🌸Những nguyên tắc giao tiếp được tác giả đã đúc kết qua hàng chục năm trời qua những câu chuyện của các vị Tổng thống, các nhà văn, nhà thơ nổi tiếng... 🌼Sách phù hợp với bất kì ai, dù là các bạn học sinh, sinh viên đến người đang đi làm. Đây là quyển sách tâm huyết đối với mình. Từ một cô học trò nhút nhát mình đã bắt đầu dạn dĩ hơn, hoà đồng hơn với mọi người.🌺 Nếu bạn chưa đọc quyển này thì hãy đọc ngay đi, rồi bạn sẽ nhận ra: lời nói của chúng ta kì diệu đến dường nào 🥰.",1
219,Đã nhiều lần mua hàng qua Tiki tuy nhiên đây là lần đầu tiên mình thấy thật sự ko hài lòng đến vậy. Sách tuy có giấy bóng kính bọc bên ngoài nhưng phần gáy sách đều bị nát và ố vàng. Mình ko biết có nên tiếp tục ủng hộ Tiki hay không nữa khi cuốn sách từ lâu mình đã rất muốn đọc lại thành ra ntn?,-1
220,"Mình đã rất mong chờ quyển này, nhưng khi nhận được hàng thì ôi thôi. Sách rất cũ, bìa sách bị trầy xước cả 2 mặt trước và sau, bị hư dập tất cả các góc trên sản phẩm. Ngoại quan sản phẩm quá xấu khiến mình chẳng buồn khám phá nỗi thế giới bên trong sách luôn. Mình có đính kèm hình ảnh chi tiết lỗi của sản phẩm, bên Tiki vui lòng xem qua và sớm giải quyết yêu cầu mình đã gửi đến bộ phận CSKH nhé. Xin cảm ơn!",-1
221,Mua hàng Tiki đã lâu nhưng nay mình hơi thất vọng vì hàng nhận được mà hộp lại bị rách tả tơi như vậy. Mua 4 quyển mà bọc không cẩn thận như vậy đây. sách sờ vào thì bụi giáp tay bìa sước xát. may mà bên trong sách chất lượng giấy mịn đẹp k lỗi. Nội dung thì vừa nhận chưa kịp đọc ạ.,-1
222,nội dung sách mình chưa đọc nhưng sách bị dập gáy nhiều và gãy viền sách. thật sự thất vọng khi mua lần đầu như vậy ở tiki lần sau sẽ k mua lại thật sự không muốn đánh giá ít sao cho 1 cuốn sách đc món review hay nhưng thật sự mình rất thất vọng,-1
223,"Trước giờ luôn tin tưởng giao hàng của tiki, nhưng 2-3 lần đặt hàng gần đây làm mình hơi thất vọng. Hộp giao tới móp méo, sách bên trong bị trầy 1ít. Giao hàng rất nhanh sớm 2 ngày. Mình góp ý chút thôi mong tiki cố gắng hoàn thiện chất lượng đóng gói hơn nhé.",0
224,"nội dung thì khỏi phải bàn, hình thức chất lượng sách cx sẽ rất tuyệt vời nếu k bị nhăn, có hơi bẩn, có vết xước, dấu hiệu của hàng đã cũ, k đc bọc plastic cẩn thận:))) mặc dù giá trị cuốn sách là ở nội dung nhưng vì là người yêu sách nên sách bị như vầy khó chịu thật sự luôn ấyyyyy k biết là do tiki hay nhà cung cấp nhưng để như vầy là khó chấp nhận thật sự:) chắc mk còn may mắn hơn nhiều bạn:)))",-1
225,"Về nội dung thì khỏi nói vì ai cũng biết rồi - Siêu phẩm. Mình biết cuốn này qua một người anh là youtuber. Sau khi nghe a chia sẻ là mình lên đặt ngay không suy nghĩ. Có một bản bìa thường thì giá rẻ hơn vài chục nhưng bị mn nhận xét là hay bị bong gáy nên mình quyết định mua bản này cho an toàn. Sau khi nhận sách thì mình thấy rất ok, không có lỗi gì nghiêm trọng. Một số bạn bị nhăn góc thì chắc do bên vận chuyển thôi, dù sao cũng không nên khó chịu quá vì quan trọng là sách chắc chắn và nội dung hay là đc rồi. Thời gian giao thì có lâu hơn so với những sách mình từng đặt một chút nhưng không sao: 4 ngày kể từ ngày đặt hàng. Nói tóm lại là mình hài lòng.",1
226,"Nhìn chung là khá hài lòng về dịch vụ của Tiki, ngoại hình sách khá ổn, chỉ có bị gãy sơ 2 mép như ảnh nhưng với mình thì không vấn đề gì nhiều. Thực sự bị ấn tượng với bìa của cuốn sách, nhìn phát là ưng liền, đẹp xỉu lên xỉu xuống ý Còn về nội dung thì đã đọc 1 lần qua ebook, chỉ có thể diễn tả bằng 2 từ “xuất sắc” nên giờ mới quyết định mua sách giấy cầm đọc cho sướng nè :)))",1
227,"Sau 8 ngày, mình đã đọc xong quyển sách này. Mình chỉ có ""60 cuộc đời"" nhưng mình dùng 8 ngày trong 60 năm ấy trãi nghiệm và sống ở thế kỉ trước. Mình định sẽ viết rất nhiều nhưng bây giờ tất cả chỉ gói gọn trong 3 từ - Rất tuyệt vời. Về đánh giá nội dung thì mình không cần phải làm việc đó, những tác giả nổi tiếng đã đánh như trên hình.",1
228,"Sách hơi bị dập chỗ góc (chắc là do lưu trữ và bảo quản ko tốt chứ box được vận chuyển khá ngay ngắn và ko bị dập nát), nhưng lỗi này ko ảnh hưởng nhiều lắm, giấy vàng siêu iu, in đều màu (ko bị mảng trắng mảng vàng như mô tả các bạn review trc đó, đọc nhận xét mà sợ mãi mới dám xuống đơn cuốn này ^^), tên nhân vật vẫn để tiếng Anh ko bị Việt hoá, nói chung là cưng hết sức ^^",1
